Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Tibet Guest House, 2469,Expedia,278,3.5,https://www.tripadvisor.com/Hotel_-g293890-d338266--Tibet_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Chhetrapati, Thamel", ,"Kathmandu 44600, ",27.7112473,85.3087748
Hotel Melungtse, 2646,Expedia,68,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1793045--Hotel_Melungtse-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false, , ,"Kathmandu, ",27.7172453,85.3239605
Park Village Hotel & Resort, 4454,Expedia,212,4,https://www.tripadvisor.com/Hotel_-g293890-d597120--Park_Village_Hotel_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false, ,Budanil-Kantha,"Kathmandu 44600, ",27.7654382,85.3652959
Holy Lodge, 1185,Booking.com,132,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1172373--Holy_Lodge-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"7 Corner, Thamel", ,"Kathmandu 44600, ",27.7158968,85.3098306
Fuji Hotel, 4104,Booking.com,240,4,https://www.tripadvisor.com/Hotel_-g293890-d598179--Fuji_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Jyatha, Thamel",P.O. Box 6209,"Kathmandu 44600, ",27.7124215,85.3127754
Hotel Blue Horizon, 1764,Booking.com,459,4,https://www.tripadvisor.com/Hotel_-g293890-d648412--Hotel_Blue_Horizon-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Thamel,Thamel,"Kathmandu 44600, ",27.7153902,85.3123293
Hotel Temple Inn, 4545,Booking.com,60,4.5,https://www.tripadvisor.com/Hotel_-g293890-d10392738--Hotel_Temple_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Gaushala, ,"Kathmandu 44600, ",27.7084959,85.3465697
Samsara Resort, 3558,Expedia,300,4,https://www.tripadvisor.com/Hotel_-g293890-d633635--Samsara_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Bhagabati Marga,Thamel,"Kathmandu 00977, ",27.7169323,85.3113859
World Heritage Hotel & Apartments - Dwarika Chhen, 1336,Expedia,63,4.5,https://www.tripadvisor.com/Hotel_-g293890-d4860362--World_Heritage_Hotel_Apartments_Dwarika_Chhen-Kathmandu_Kathmandu_Valley_Bagmati_Zone_.html,true,false,false,true,"Dwarika Chhen, Kathmandu Durbar Square",Maru Pyaphal,"Kathmandu 44600, ",27.7049349,85.3064809
Sankata Hotel and Apartment, 1396,Expedia,86,5,https://www.tripadvisor.com/Hotel_-g293890-d7086111--Sankata_Hotel_and_Apartment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,29 Thamel, ,"Kathmandu 44600, ",27.7121649,85.3131965
