	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
116	8848 Hostel	NPR 582	Booking.com	29 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d13109989-Reviews-8848_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	false
117	Bodhi Boutique Hotel	NPR 3,112	Booking.com	34 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d13402441-Reviews-Bodhi_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	false
118	Hotel Yak & Yeti	NPR 14,397	Hotel Yak and Yeti	1,326 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d305977-Reviews-Hotel_Yak_Yeti-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
119	Hotel Annapurna	NPR 11,264	Expedia	599 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d304701-Reviews-Hotel_Annapurna-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
120	Acme Guest House		Hotels.com	182 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1196919-Reviews-Acme_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
121	Hotel Everest Nepal		Hotels.com	57 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d8647583-Reviews-Hotel_Everest_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
122	Hotel Himalaya Yoga		Hotels.com	90 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3748125-Reviews-Hotel_Himalaya_Yoga-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
123	Travellers Dorm Bed & Breakfast		Hotels.com	57 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12363058-Reviews-Travellers_Dorm_Bed_Breakfast-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
124	Traditional Comfort	NPR 10,407	Expedia	162 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d10591832-Reviews-Traditional_Comfort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
125	Shangri-La Hotel Kathmandu	NPR 10,583	Hotels.com	525 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d310330-Reviews-Shangri_La_Hotel_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
126	Hotel Woodland Kathmandu	NPR 5,884	Expedia	60 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7102679-Reviews-Hotel_Woodland_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
127	Hotel Marshyangdi	NPR 4,934	Expedia	254 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d310331-Reviews-Hotel_Marshyangdi-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
128	OYO 11468 Kathmandu Embassy Hotel	NPR 1,712	Booking.com	50 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d8408952-Reviews-OYO_11468_Kathmandu_Embassy_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regi.html	true	false	true	false
129	Ammas Home B & B	NPR 3,001	Booking.com	128 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2366917-Reviews-Ammas_Home_B_B-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
130	Kathmandu Garden Home	NPR 1,766	Expedia	43 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d11802348-Reviews-Kathmandu_Garden_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
131	Hotel Pokhara Peace	NPR 1,764	Booking.com	79 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1904888-Reviews-Hotel_Pokhara_Peace-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
132	Karma Boutique Hotel	NPR 3,363	Booking.com	30 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12548952-Reviews-Karma_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
